GameId,DurationSeconds,RoundCount,RedPoints,BluePoints,OrangePoints,WhitePoints
"78fd211d-20f7-46d1-848f-a39d9bdfb508",232.8525077,224,5,2,2,10
"4eac99af-104d-426e-9689-2ed2c687fba2",48.548384,46,3,10,4,5
"44cbd9bd-baeb-475d-8943-bd69ad89b048",24.3145996,22,2,11,5,2
"02134d00-0012-4a41-97d2-51cbc9dd7412",92.5015841,72,2,3,3,11
"d795f47d-cdb0-4072-89a1-d4363e8e9c14",27.0224135,47,2,10,2,2
"fc87c2ba-0fb9-41fe-b50c-8b620378e30e",86.0062434,149,6,10,2,6
"a24173ab-f5c5-4d57-86ee-ca39c267a294",69.8067409,128,3,5,2,10
"dfad5c89-9099-4846-89e9-de500b3801ca",53.5661106,81,10,3,8,4
"1ae05846-ffc2-42ce-b4cd-484e31ef960e",48.422991,77,2,3,10,3
"c35986a5-8ce3-427f-a67d-9400315f3056",39.7356914,60,10,2,4,2
"6ceafc33-9432-402c-821b-c546a16b7e2f",111.1230849,179,3,2,6,10
"9e40719c-0ab8-4082-8da5-1a66245a0c3e",26.4612531,39,2,2,11,3
"20120a78-e372-469a-a254-c3fedb6b8f1c",59.247078,87,5,8,4,10
"f905be8a-7779-4512-8bc3-b36792126090",39.7804066,60,10,8,3,2
"b4efacbd-4faa-4f45-82c7-b1c29e138ed4",62.3137032,97,10,5,5,2
"3372e8e3-3756-4a94-ad5d-e3cc46c072f5",117.0848472,179,11,7,3,4
"2b340532-c8f4-43b2-b4d1-39811aa5d817",41.1554533,60,7,10,3,2
"8d7b5f34-ba32-4e1c-8e70-00ff004caef4",38.548388,55,3,10,7,6
"8f9b8143-fb07-4318-8f26-1a095592f8fe",130.9151508,212,2,10,5,7
"0bd57478-be52-4c8a-9b0c-fa590450b2e3",94.9207514,150,6,10,2,6
"16b92f92-4643-4b13-84b4-019fb648b379",66.8521533,102,3,10,5,3
"7fecbf1f-829d-4a8c-a820-7af399d15ae0",54.7288353,82,3,10,3,8
"d009df71-6599-428e-96b9-7b829a97db7c",116.5093885,194,3,6,7,10
"622c29da-04da-42a9-bab4-b2a914b837ac",116.8481053,187,2,10,6,4
"8da0a202-7898-457c-8270-a23da977401e",139.3844065,219,10,4,6,9
"5ce30c06-5794-481e-91de-5056430efaac",115.0524789,166,2,10,3,5
"809728db-c32c-4473-bc48-58c8c0270d23",31.9010067,44,3,5,10,2
"d7eb3dc3-bd2f-4ce8-9227-194dbb1a597b",99.1386161,152,4,4,7,10
"0cf72069-e2e6-405a-b8d0-a9fb69674108",91.3204011,141,2,2,11,5
